unnamed: 0,id,manufacturer,model,year,battery_type,battery_capacity_kwh,range_km,charging_type,charge_time_hr,price_usd,color,country_of_manufacture,autonomous_level,co2_emissions_g_per_km,safety_rating,units_sold_2024,warranty_years
2343,2344,XPeng,G9,2023,Nickel-cobalt-aluminum,35.7,184,Solar Charging,11.6,108506.7,Forest Green,Czech Republic,3.0,0.0,5.0,9405,4
2344,2345,Fisker,Pear (upcoming),2023,Lithium-sulfur,142.0,494,DC Fast Charging (DCFC),4.3,119827.74,Racing Red,Denmark,3.0,0.0,3.0,16864,4
2346,2347,Peugeot,e-3008,2017,Nickel-metal hydride,94.0,302,Battery Swapping,6.4,106491.31,Green,USA,1.0,0.0,3.0,8702,4
2350,2351,Genesis,GV80 Electric,2018,Zinc-air,27.1,379,Vehicle-to-Home (V2H),6.7,55490.12,Lime Green,Czech Republic,3.0,0.0,3.0,14362,5
2351,2352,Ford,E-Transit,2019,Nickel-cobalt-aluminum,76.0,300,Plug-in Hydrogen Refueling,7.5,112539.96,Crimson Red,Vietnam,0.0,0.0,4.0,6893,5
2353,2354,Ferrari,SF90 Stradale (PHEV),2018,Magnesium-ion,138.7,173,Mobile Charging,5.7,127754.12,Champagne,Belgium,2.0,0.0,5.0,19848,5
2354,2355,Mercedes-Benz,G-Class Electric (upcoming),2015,Lithium-titanate,108.7,339,NACS,2.7,110636.88,Forest Green,Spain,3.0,0.0,4.0,3281,4
2355,2356,Cadillac,Optiq (upcoming),2021,Solid-state,91.1,293,Plug-in Hydrogen Refueling,2.4,127650.66,Beige,South Africa,3.0,0.0,3.0,8907,4
2356,2357,Cadillac,Celestiq,2015,Magnesium-ion,52.0,578,Overhead Pantograph Charging,1.5,144849.17,Sapphire Blue,Hungary,0.0,0.0,3.0,18397,5
2357,2358,Volvo,C40 Recharge,2016,Lead-acid,52.2,114,CCS,5.0,118944.19,Bronze,New Zealand,0.0,0.0,3.0,16186,4
2362,2363,Mazda,Mazda EV (upcoming models),2023,Lithium-iron phosphate,53.4,211,Vehicle-to-Load (V2L),1.8,139577.44,Purple,Czech Republic,2.0,0.0,4.0,1919,5
2363,2364,Seat,Avenger,2015,Nickel-metal hydride,82.7,372,NACS,10.9,131251.93,Blue,Japan,5.0,0.0,3.0,17868,5
2366,2367,Kia,EV9,2022,Zinc-air,65.0,248,NACS,6.6,138642.8,Electric Blue,Netherlands,3.0,0.0,3.0,13136,4
2369,2370,Nissan,Ariya,2025,Lithium-ion,66.9,201,DC Fast Charging (DCFC),7.5,63721.43,Red,South Korea,0.0,0.0,3.0,17288,4
2374,2375,Great Wall Motors,ORA Ballet Cat,2019,Calcium-ion,143.6,510,DC Fast Charging (DCFC),8.8,85306.59,Lime Green,Thailand,2.0,0.0,5.0,14274,5
2376,2377,Mini,Mini Aceman,2016,Zinc-air,28.1,163,CCS,12.0,143859.7,Bronze,Mexico,3.0,0.0,4.0,13634,3
2377,2378,Jeep,Wagoneer S,2017,Lithium-sulfur,93.4,477,Level 1 Charging,1.6,34681.26,Charcoal,France,2.0,0.0,4.0,15292,3
2379,2380,GMC,Hummer EV SUV,2025,Zinc-air,103.8,193,Battery Swapping,6.5,96675.45,Burgundy,Belgium,4.0,0.0,3.0,19912,3
2380,2381,Rivian,EDV (Electric Delivery Van),2020,Lithium-titanate,81.4,450,Level 1 Charging,2.4,138136.99,Black,Finland,4.0,0.0,5.0,19871,5
2382,2383,Lamborghini,Lanzador (upcoming EV),2025,Nickel-manganese-cobalt,72.7,503,CHAdeMO,5.9,70018.84,Crimson Red,Belgium,0.0,0.0,3.0,3419,4
2383,2384,Zeekr,Zeekr X,2018,Lithium-sulfur,121.3,159,Battery Swapping,8.4,45983.11,Turquoise,Thailand,2.0,0.0,3.0,13618,3
2384,2385,XPeng,G6,2023,Lead-acid,74.5,554,Inductive (Wireless) Charging,2.7,85124.41,Copper,Portugal,2.0,0.0,5.0,10042,3
2385,2386,Toyota,Lexus RZ,2017,Solid-state,30.1,339,Mobile Charging,3.5,99103.63,Copper,Singapore,5.0,0.0,3.0,18160,5
2386,2477,Nissan,Leaf,2020,Lead-acid,77.1,366,Solar Charging,5.0,141949.03,Lime Green,Switzerland,0.0,0.0,5.0,9617,4
2388,2388,GMC,Hummer EV Pickup,2019,Flow batteries,70.4,191,Vehicle-to-Home (V2H),2.5,82911.25,Electric Blue,Hungary,4.0,0.0,4.0,18675,3
2389,2389,BYD,Tang EV,2015,Lithium-ion,80.4,514,CCS,3.5,147788.67,Ruby Red,China,1.0,0.0,5.0,5813,5
2391,2391,Great Wall Motors,ORA Ballet Cat,2025,Flow batteries,127.4,296,NACS,4.0,119373.26,Platinum,China,5.0,0.0,5.0,19344,4
2394,2394,Renault,5 E-Tech,2016,Nickel-cobalt-aluminum,25.7,565,Battery Swapping,9.3,52469.57,Aurora Blue,Netherlands,4.0,0.0,5.0,7432,5
2397,2397,Mahindra,XUV400,2018,Lithium-titanate,129.7,569,Vehicle-to-Grid (V2G),1.3,147570.67,Matte Blue,Argentina,5.0,0.0,5.0,19648,4
2398,2398,Changan,Deepal S07,2025,Nickel-manganese-cobalt,110.7,209,Vehicle-to-Load (V2L),8.6,103056.52,Pearl White,Israel,2.0,0.0,4.0,19687,5
2399,2399,Maserati,Grecale Folgore,2021,Nickel-manganese-cobalt,76.5,340,Solar Charging,8.8,41964.6,Turquoise,Israel,2.0,0.0,4.0,145,4
2400,2400,Canoo,Lifestyle Vehicle,2024,Lithium-ion,146.8,274,Vehicle-to-Grid (V2G),9.0,134948.72,Matte Black,Brazil,5.0,0.0,4.0,13943,5
2403,2403,Acura,ZDX (with GM Ultium),2020,Nickel-cobalt-aluminum,68.6,272,NACS,9.7,106909.17,Aurora Blue,Australia,4.0,0.0,5.0,13675,5
2405,2405,Canoo,MPDV,2023,Calcium-ion,57.8,334,Level 2 Charging,1.4,89012.86,Purple,Netherlands,3.0,0.0,3.0,8970,5
2408,2408,Maserati,GranTurismo Folgore,2016,Lithium-titanate,149.1,445,Vehicle-to-Load (V2L),4.8,59718.93,Pearl White,Finland,0.0,0.0,5.0,5491,3
2409,2409,Toyota,bZ4X,2023,Sodium-ion,38.3,303,Ultra-Fast Charging (350 kW+),2.9,136217.28,Red,China,3.0,0.0,3.0,17081,3
2411,2411,Lucid Motors,Lucid DreamDrive,2025,Lithium-iron phosphate,28.0,517,Overhead Pantograph Charging,3.9,40420.46,Ruby Red,Poland,5.0,0.0,5.0,5922,5
2412,2412,Nissan,Leaf,2016,Lithium-iron phosphate,81.3,383,Level 2 Charging,8.9,112098.42,Red,Japan,3.0,0.0,4.0,16340,4
2413,2413,VinFast,VF 9,2022,Lithium-iron phosphate,130.9,275,Vehicle-to-Home (V2H),4.8,72849.66,Magenta,Mexico,0.0,0.0,5.0,3631,5
2414,2414,Pininfarina,Battista,2018,Sodium-ion,120.3,469,CCS,1.7,36062.63,Beige,Finland,2.0,0.0,3.0,17608,5
2415,2415,Renault,5 E-Tech,2018,Lithium-titanate,52.4,434,DC Fast Charging (DCFC),2.9,111445.8,Red,Poland,4.0,0.0,3.0,15221,3
2416,2416,Ford,Explorer EV (Europe),2019,Lithium-ion,76.2,509,Vehicle-to-Grid (V2G),0.7,82801.97,Cosmic Purple,France,0.0,0.0,5.0,15647,4
2418,2418,Canoo,Pickup,2017,Sodium-ion,41.8,117,NACS,3.1,125712.83,Turquoise,Turkey,3.0,0.0,4.0,17897,3
2419,2419,Maserati,GranTurismo Folgore,2023,Magnesium-ion,92.7,557,DC Fast Charging (DCFC),7.3,136840.62,Cosmic Purple,Israel,2.0,0.0,3.0,12585,5
2420,2420,Renault,Scenic E-Tech,2024,Zinc-air,28.7,461,Battery Swapping,4.1,127979.96,Lime Green,Czech Republic,3.0,0.0,3.0,19142,3
2421,2421,Nissan,Ariya,2016,Sodium-ion,42.1,546,CHAdeMO,11.8,135462.86,Racing Red,South Africa,4.0,0.0,3.0,2265,5
2422,2422,Jeep,Recon (upcoming),2022,Zinc-air,109.4,491,Level 2 Charging,1.9,112182.68,Beige,Malaysia,5.0,0.0,3.0,13877,4
2424,2424,Zeekr,Zeekr 001,2025,Lithium-iron phosphate,33.8,150,Ultra-Fast Charging (350 kW+),8.1,31509.22,Champagne,Israel,5.0,0.0,4.0,11470,4
2427,2427,Lamborghini,Lanzador (upcoming EV),2015,Zinc-air,51.1,578,Ultra-Fast Charging (350 kW+),5.0,78879.86,White,Mexico,2.0,0.0,3.0,2351,3
2429,2429,Ford,Explorer EV (Europe),2024,Nickel-manganese-cobalt,129.9,556,Solar Charging,6.9,121177.35,Beige,Israel,2.0,0.0,5.0,19874,4
2430,2430,Peugeot,e-2008,2016,Zinc-air,75.2,214,Level 2 Charging,4.5,89359.27,Blue,Spain,3.0,0.0,3.0,5912,4
2431,2431,Canoo,MPDV,2016,Nickel-cobalt-aluminum,52.6,220,Level 1 Charging,11.3,46097.17,Copper,Thailand,5.0,0.0,4.0,6678,3
2432,2432,Citroen,Ami,2016,Zinc-air,127.3,541,Vehicle-to-Grid (V2G),3.3,149543.43,Ruby Red,Germany,2.0,0.0,4.0,145,4
2433,2433,VinFast,VF 7,2017,Lithium-iron phosphate,21.6,196,Overhead Pantograph Charging,5.3,54730.21,Racing Red,Brazil,2.0,0.0,3.0,19922,5
2436,2436,Maserati,Grecale Folgore,2025,Calcium-ion,75.8,522,Mobile Charging,6.3,148196.18,Gray,China,1.0,0.0,3.0,3374,3
2437,2437,Genesis,GV70 Electric,2023,Magnesium-ion,30.2,348,Level 1 Charging,9.8,55091.74,Cream,Vietnam,1.0,0.0,5.0,9952,4
2439,2439,Mini,Mini Aceman,2019,Lithium-ion,128.2,351,Overhead Pantograph Charging,3.0,105953.02,Metallic Silver,France,1.0,0.0,3.0,14687,5
2441,2441,Volkswagen,ID.Buzz,2021,Sodium-ion,39.7,534,Solar Charging,9.6,102435.89,Graphite Gray,Brazil,5.0,0.0,5.0,16475,3
2444,2444,Subaru,Solterra,2024,Magnesium-ion,58.5,443,Battery Swapping,9.0,68380.78,Aurora Blue,Indonesia,0.0,0.0,5.0,17565,4
2445,2445,Pininfarina,Battista,2015,Magnesium-ion,115.8,551,Level 2 Charging,8.6,99914.47,Green,Argentina,5.0,0.0,3.0,4641,3
2449,2449,Volvo,EX90,2020,Nickel-cobalt-aluminum,82.8,335,CCS,7.2,113582.33,Teal,Thailand,2.0,0.0,3.0,19298,4
2450,2450,Mahindra,Born Electric (upcoming range),2015,Sodium-ion,53.9,519,Vehicle-to-Home (V2H),2.8,59278.65,Cream,Spain,0.0,0.0,4.0,8865,4
2454,2454,Lotus,Evija,2020,Lithium-sulfur,71.0,569,Ultra-Fast Charging (350 kW+),7.8,117415.69,Copper,Belgium,4.0,0.0,3.0,18168,5
2455,2455,Toyota,bZ4X,2018,Solid-state,94.7,262,Plug-in Hydrogen Refueling,6.2,92841.1,Charcoal,France,0.0,0.0,5.0,17745,5
2456,2456,Honda,Honda e (discontinued),2017,Sodium-ion,101.9,153,DC Fast Charging (DCFC),11.6,99950.95,Silver,Denmark,4.0,0.0,5.0,9627,3
2457,2457,Mini,Mini Aceman,2019,Solid-state,127.3,260,Vehicle-to-Home (V2H),7.6,118599.68,Matte Blue,Japan,1.0,0.0,5.0,17768,5
2458,2458,Geely,Emgrand EV,2021,Nickel-manganese-cobalt,70.6,320,Level 2 Charging,11.9,76469.1,Pearl White,South Africa,2.0,0.0,3.0,10149,3
2460,2460,Citroen,Ami,2025,Lithium-iron phosphate,102.4,546,Vehicle-to-Home (V2H),8.6,51643.26,Stealth Gray,India,1.0,0.0,4.0,10122,5
2461,2461,Hyundai,Ioniq 6,2016,Lithium-iron phosphate,49.0,543,CCS,1.4,86388.48,Tan,South Korea,3.0,0.0,3.0,19428,3
2463,2463,Tesla,Model 3,2021,Lithium-ion,69.1,350,Vehicle-to-Load (V2L),1.8,134629.64,Pearl White,Portugal,3.0,0.0,4.0,11193,4
2464,2464,Audi,e-tron GT,2021,Lithium-sulfur,94.9,312,Vehicle-to-Load (V2L),11.4,113761.62,Yellow,Poland,3.0,0.0,4.0,9845,4
2467,2467,Tesla,Cybertruck,2023,Lithium-iron phosphate,85.5,207,DC Fast Charging (DCFC),10.4,56800.73,Brown,Hungary,1.0,0.0,4.0,1691,3
2469,2469,Audi,Q4 e-tron,2020,Lithium-titanate,81.2,371,CHAdeMO,5.1,94249.74,White,Denmark,2.0,0.0,3.0,15203,3
2470,2470,NIO,ET7,2025,Lead-acid,117.2,299,NACS,8.7,112562.4,Emerald Green,India,3.0,0.0,4.0,5893,3
2471,2471,Acura,ZDX (with GM Ultium),2015,Lithium-iron phosphate,109.0,276,Battery Swapping,5.9,120890.93,Stealth Gray,Norway,0.0,0.0,3.0,5079,3
2472,2472,Renault,Scenic E-Tech,2016,Magnesium-ion,123.2,593,NACS,11.2,114203.73,Gray,Turkey,0.0,0.0,4.0,6076,4
2473,2473,Polestar,Polestar 4,2016,Aluminum-ion,85.2,240,Mobile Charging,4.7,37730.9,Matte White,Finland,4.0,0.0,3.0,2802,4
2476,2476,Li Auto,L8,2023,Nickel-cobalt-aluminum,137.9,260,Plug-in Hydrogen Refueling,3.9,105012.82,Magenta,Malaysia,5.0,0.0,5.0,5729,3
2477,2478,Chevrolet,Bolt EV,2022,Nickel-metal hydride,116.7,595,CHAdeMO,6.4,31713.78,Electric Blue,Thailand,0.0,0.0,5.0,16371,4
2481,2482,Mini,Mini Electric,2017,Calcium-ion,70.6,103,Solar Charging,5.3,32110.5,Yellow,Malaysia,5.0,0.0,5.0,3471,5
2482,2483,NIO,ET9,2019,Lithium-sulfur,29.4,112,Vehicle-to-Grid (V2G),5.0,88992.78,Matte White,Czech Republic,3.0,0.0,3.0,2495,4
2483,2484,Fisker,Ocean,2017,Aluminum-ion,108.8,178,Inductive (Wireless) Charging,9.4,98668.26,Teal,Portugal,0.0,0.0,5.0,501,5
2484,2485,Changan,SL03,2024,Lead-acid,68.7,186,Ultra-Fast Charging (350 kW+),8.1,33064.13,Teal,Germany,3.0,0.0,4.0,7667,3
2485,2486,Mini,Mini Electric,2016,Nickel-manganese-cobalt,119.3,230,Vehicle-to-Home (V2H),7.1,68014.73,Gold,China,4.0,0.0,5.0,5825,3
2486,2487,Tesla,Model 3,2023,Flow batteries,137.1,136,Overhead Pantograph Charging,9.5,51719.71,Graphite Gray,Israel,5.0,0.0,4.0,12860,5
2487,2488,Tesla,Model S,2017,Nickel-cobalt-aluminum,98.9,185,Mobile Charging,11.6,132124.5,Stealth Gray,South Korea,1.0,0.0,5.0,19665,3
2488,2489,Volvo,EX30,2018,Lithium-ion,52.1,593,NACS,4.7,119024.29,Pearl White,Russia,3.0,0.0,3.0,18387,3
2489,2490,MG,MG5 EV,2019,Lithium-ion,118.6,576,Ultra-Fast Charging (350 kW+),6.0,77158.15,Gold,Switzerland,4.0,0.0,5.0,11677,5
2490,2491,Lotus,Eletre,2018,Lithium-iron phosphate,148.1,367,Vehicle-to-Grid (V2G),7.9,128535.73,Copper,United Arab Emirates,1.0,0.0,3.0,16886,4
2492,2493,BMW,iX1,2015,Nickel-manganese-cobalt,52.9,231,Vehicle-to-Load (V2L),7.1,57780.54,Yellow,China,3.0,0.0,3.0,968,3
2493,2494,Dacia,Bigster EV (upcoming),2020,Nickel-cobalt-aluminum,88.6,555,Battery Swapping,11.0,93594.87,Pink,Russia,3.0,0.0,4.0,13266,4
2496,2497,Nissan,Leaf,2021,Zinc-air,120.6,268,Vehicle-to-Load (V2L),11.7,74816.1,Ice Silver,Vietnam,2.0,0.0,3.0,3232,4
2497,2498,Lucid Motors,Lucid Gravity,2022,Lead-acid,29.0,261,CHAdeMO,3.5,107703.04,Red,Belgium,3.0,0.0,5.0,16880,3
2499,2500,Faraday Future,FF 91,2018,Lithium-sulfur,111.6,115,DC Fast Charging (DCFC),1.5,104328.15,Gun Metal,Russia,2.0,0.0,5.0,16038,3
2500,2501,Skoda,Elroq (upcoming),2022,Calcium-ion,80.2,241,Level 2 Charging,7.1,80041.32,Matte White,China,2.0,0.0,4.0,18840,4
2501,2502,Geely,Geometry A,2024,Nickel-cobalt-aluminum,32.2,575,Level 2 Charging,8.1,122797.8,Gold,Germany,1.0,0.0,5.0,19023,3
2502,2503,BMW,iX1,2015,Lithium-sulfur,125.3,461,Vehicle-to-Load (V2L),11.6,67652.57,Sapphire Blue,Portugal,0.0,0.0,3.0,3410,5
2504,2505,Chevrolet,Volt (PHEV),2023,Calcium-ion,63.1,384,Vehicle-to-Grid (V2G),5.7,139549.21,Charcoal,India,3.0,0.0,3.0,18128,3
2506,2507,Kia,EV6,2025,Lead-acid,121.2,548,Overhead Pantograph Charging,2.7,115591.46,Blue,Portugal,3.0,0.0,4.0,18529,4
2508,2509,VinFast,VF 9,2020,Nickel-cobalt-aluminum,25.9,222,CCS,1.1,80737.05,Navy Blue,Japan,4.0,0.0,5.0,5286,3
2510,2511,Seat,Avenger,2021,Nickel-cobalt-aluminum,102.0,549,Mobile Charging,11.9,83442.65,Turquoise,Turkey,3.0,0.0,5.0,7975,5
2511,2512,Great Wall Motors,ORA Good Cat,2015,Calcium-ion,111.1,196,CHAdeMO,4.6,115673.64,Blue,Vietnam,3.0,0.0,3.0,13149,3
2513,2514,XPeng,P5,2022,Sodium-ion,39.2,497,Level 1 Charging,5.5,148873.52,Candy Apple Red,Singapore,5.0,0.0,4.0,6979,5
2514,2515,Rimac,Nevera,2021,Calcium-ion,123.6,251,NACS,12.0,85022.3,Matte Green,Ireland,5.0,0.0,5.0,3299,4
2515,2516,Renault,Kangoo E-Tech,2022,Nickel-cobalt-aluminum,37.6,542,NACS,10.3,82608.38,Charcoal,Brazil,0.0,0.0,3.0,18826,3
2517,2518,GMC,Hummer EV Pickup,2021,Lithium-titanate,138.0,263,Overhead Pantograph Charging,0.9,127576.95,Cream,China,0.0,0.0,4.0,7419,3
2518,2519,Volkswagen,ID.4,2025,Lithium-ion,126.0,464,Vehicle-to-Grid (V2G),4.9,82251.22,Purple,Czech Republic,2.0,0.0,4.0,5137,5
2520,2521,Polestar,Polestar 2,2020,Nickel-manganese-cobalt,49.2,159,Ultra-Fast Charging (350 kW+),4.8,126774.65,Rose Gold,United Arab Emirates,5.0,0.0,4.0,12199,3
2521,2522,Li Auto,L7,2020,Solid-state,23.9,105,Overhead Pantograph Charging,8.2,147813.28,White,Argentina,1.0,0.0,5.0,13057,5
2524,2524,Ford,Explorer EV (Europe),2018,Sodium-ion,76.0,117,Plug-in Hydrogen Refueling,8.0,70167.14,Teal,China,3.0,0.0,4.0,11902,3
2525,2525,Jeep,Grand Cherokee 4xe (PHEV),2022,Aluminum-ion,87.7,401,Mobile Charging,3.0,130213.31,Midnight Black,Australia,2.0,0.0,4.0,17365,5
2526,2526,Nissan,Leaf,2024,Nickel-manganese-cobalt,75.0,181,CCS,2.8,62261.33,Stealth Gray,UK,5.0,0.0,5.0,14140,4
2528,2528,Jeep,Recon (upcoming),2016,Zinc-air,92.6,239,Level 2 Charging,9.4,96666.78,Lime Green,Spain,2.0,0.0,5.0,3912,3
2529,2529,XPeng,X9,2016,Nickel-manganese-cobalt,118.0,407,Ultra-Fast Charging (350 kW+),0.6,31704.6,Rose Gold,Germany,4.0,0.0,3.0,10803,5
2532,2532,Subaru,Solterra,2015,Aluminum-ion,37.8,425,DC Fast Charging (DCFC),2.3,144721.18,Copper,Vietnam,3.0,0.0,3.0,4883,5
2533,2533,Skoda,Elroq (upcoming),2020,Zinc-air,88.1,197,Plug-in Hydrogen Refueling,9.4,36188.94,Platinum,Portugal,4.0,0.0,5.0,10519,5
2534,2534,Audi,e-tron GT,2021,Lithium-ion,132.1,176,Level 1 Charging,3.3,39484.19,Titanium,Spain,2.0,0.0,4.0,3931,4
2535,2535,XPeng,G9,2022,Calcium-ion,131.9,362,CCS,2.9,64249.14,Matte Green,Finland,0.0,0.0,5.0,12979,4
2536,2536,Genesis,GV60,2021,Lithium-sulfur,65.7,370,Plug-in Hydrogen Refueling,2.2,116893.2,Matte Green,Hungary,1.0,0.0,3.0,15458,3
2537,2537,Toyota,Lexus UX 300e,2023,Aluminum-ion,83.6,230,CCS,11.0,79586.51,Electric Blue,Singapore,2.0,0.0,4.0,3885,5
2538,2538,Peugeot,e-208,2020,Calcium-ion,85.5,395,Ultra-Fast Charging (350 kW+),4.1,145723.63,Matte Black,Austria,5.0,0.0,3.0,15526,5
2539,2539,Lotus,Emeya,2024,Lead-acid,140.6,163,NACS,0.7,103429.51,Turquoise,India,1.0,0.0,4.0,4655,4
2542,2542,Volkswagen,ID.7,2019,Sodium-ion,132.8,109,CHAdeMO,9.1,109264.82,Matte Green,Czech Republic,1.0,0.0,4.0,3128,5
2543,2543,Mazda,MX-30,2024,Solid-state,24.0,211,NACS,11.4,118314.72,Orange,South Africa,5.0,0.0,5.0,1636,4
2544,2544,Zeekr,Zeekr 007,2019,Nickel-manganese-cobalt,82.7,424,CHAdeMO,9.1,115491.65,Yellow,UK,0.0,0.0,5.0,8202,3
2545,2545,Peugeot,e-5008,2023,Nickel-metal hydride,71.3,505,DC Fast Charging (DCFC),7.9,83635.85,Cosmic Purple,New Zealand,2.0,0.0,5.0,9257,3
2546,2546,Volkswagen,ID.5,2018,Zinc-air,49.4,415,CHAdeMO,2.0,45377.85,Stealth Gray,Russia,1.0,0.0,4.0,11110,3
2547,2547,Mercedes-Benz,EQS,2025,Magnesium-ion,87.8,549,Overhead Pantograph Charging,2.6,41976.9,Copper,South Africa,0.0,0.0,5.0,7546,5
2548,2548,Canoo,Pickup,2023,Nickel-manganese-cobalt,90.5,358,Solar Charging,2.5,124052.49,Stealth Gray,Czech Republic,5.0,0.0,5.0,8080,4
2549,2549,Mini,Mini Aceman,2024,Lithium-sulfur,78.1,343,Level 2 Charging,10.6,99147.39,Volcanic Yellow,Belgium,1.0,0.0,5.0,1788,3
2551,2551,VinFast,VF 9,2018,Lithium-titanate,73.9,570,DC Fast Charging (DCFC),10.5,134367.39,Purple,Finland,5.0,0.0,3.0,2118,3
2552,2552,Dacia,Bigster EV (upcoming),2022,Nickel-metal hydride,49.9,423,Mobile Charging,11.6,36199.09,Sapphire Blue,Portugal,3.0,0.0,4.0,6445,5
2556,2556,Great Wall Motors,ORA Good Cat,2019,Nickel-metal hydride,105.7,347,Solar Charging,10.6,116483.56,Matte Blue,Thailand,5.0,0.0,5.0,6500,3
2557,2557,Fisker,Ocean,2022,Solid-state,96.2,179,Mobile Charging,1.2,108304.18,Gold,Switzerland,1.0,0.0,4.0,12227,5
2559,2559,Genesis,G80 Electric,2024,Solid-state,53.4,340,Vehicle-to-Load (V2L),1.4,137452.66,Emerald Green,Norway,0.0,0.0,5.0,18888,5
2561,2561,BYD,Dolphin,2021,Lead-acid,105.3,225,Level 2 Charging,3.0,71791.78,Metallic Silver,India,4.0,0.0,4.0,10679,5
2562,2562,Geely,Emgrand EV,2021,Nickel-manganese-cobalt,46.9,473,Level 1 Charging,6.0,97228.32,Green,South Korea,1.0,0.0,5.0,9749,4
2563,2563,NIO,ES7,2021,Lithium-titanate,108.2,581,DC Fast Charging (DCFC),2.6,75465.3,Gold,Finland,4.0,0.0,3.0,3516,5
2564,2564,XPeng,G6,2022,Sodium-ion,71.3,252,Battery Swapping,3.1,134098.62,Silver,Israel,5.0,0.0,4.0,7133,3
2565,2565,BMW,iX3,2021,Lithium-iron phosphate,70.7,464,CCS,9.6,36458.03,Sky Blue,China,0.0,0.0,5.0,1817,4
2566,2566,MG,MG ZS EV,2016,Lithium-iron phosphate,116.3,286,Inductive (Wireless) Charging,10.5,112539.19,Aurora Blue,Belgium,2.0,0.0,5.0,5347,5
2567,2567,Rimac,Nevera,2022,Nickel-manganese-cobalt,80.9,131,Mobile Charging,4.6,92019.48,Matte Blue,Japan,1.0,0.0,4.0,19955,5
2568,2749,Geely,Geometry A,2017,Lithium-sulfur,127.8,533,CCS,2.8,54621.98,Rose Gold,Poland,1.0,0.0,3.0,18595,3
2569,2568,Kia,EV6,2019,Lithium-titanate,91.4,598,Vehicle-to-Load (V2L),0.6,108822.94,Matte Green,Belgium,5.0,0.0,3.0,12815,5
2571,2570,Cadillac,Lyriq,2023,Lithium-sulfur,42.5,420,Overhead Pantograph Charging,1.2,100852.31,Burgundy,Indonesia,3.0,0.0,4.0,11009,5
2575,2574,Citroen,ë-C4,2016,Lead-acid,143.4,471,Level 2 Charging,6.6,35894.12,Matte White,New Zealand,5.0,0.0,4.0,837,5
2576,2575,Skoda,Enyaq Coupe,2023,Solid-state,104.6,263,Level 1 Charging,1.8,97441.44,Ruby Red,United Arab Emirates,3.0,0.0,4.0,8311,4
2577,2576,Zeekr,Zeekr 001,2024,Lithium-iron phosphate,78.0,515,Vehicle-to-Grid (V2G),4.8,129609.13,Burgundy,Czech Republic,2.0,0.0,4.0,14555,4
2578,2577,Toyota,Lexus UX 300e,2024,Nickel-cobalt-aluminum,146.6,201,Vehicle-to-Load (V2L),7.1,133274.31,Charcoal,Vietnam,1.0,0.0,3.0,11302,3
2580,2579,Great Wall Motors,ORA Good Cat,2021,Lithium-ion,101.2,542,Vehicle-to-Grid (V2G),2.4,39124.22,Teal,Israel,1.0,0.0,3.0,18747,5
2581,2580,Citroen,Ami,2020,Zinc-air,34.9,385,DC Fast Charging (DCFC),5.5,65764.67,Volcanic Yellow,Austria,2.0,0.0,5.0,17273,4
2582,2581,Lotus,Emeya,2019,Lead-acid,117.2,449,Overhead Pantograph Charging,10.9,134651.02,Candy Apple Red,Canada,5.0,0.0,4.0,8648,5
2583,2582,Cadillac,Celestiq,2016,Aluminum-ion,76.6,532,Mobile Charging,2.6,87467.04,Aurora Blue,New Zealand,1.0,0.0,3.0,7283,5
2584,2583,Toyota,Lexus UX 300e,2022,Nickel-manganese-cobalt,68.0,562,DC Fast Charging (DCFC),9.5,140094.56,Green,United Arab Emirates,4.0,0.0,5.0,17624,3
2587,2586,GMC,Hummer EV Pickup,2018,Aluminum-ion,138.3,496,Vehicle-to-Grid (V2G),4.4,54261.4,Burgundy,Denmark,2.0,0.0,5.0,17750,3
2588,2587,Ferrari,Roma PHEV,2017,Lead-acid,44.2,460,CCS,7.3,139947.23,Matte Black,Russia,5.0,0.0,5.0,18088,3
2589,2588,Opel,Grandland Electric,2022,Lithium-iron phosphate,80.5,580,Vehicle-to-Grid (V2G),3.3,100558.76,Aurora Blue,Australia,5.0,0.0,4.0,12609,4
2590,2589,Nissan,Ariya,2025,Zinc-air,149.4,357,Mobile Charging,11.2,147129.86,Burgundy,South Korea,2.0,0.0,3.0,14538,5
2591,2590,Volkswagen,ID.7,2021,Nickel-metal hydride,142.9,558,Level 1 Charging,8.4,32066.13,Candy Apple Red,Finland,1.0,0.0,4.0,4840,4
2593,2592,Opel,Grandland Electric,2022,Nickel-metal hydride,56.1,426,Mobile Charging,6.9,116001.34,Matte Blue,United Arab Emirates,0.0,0.0,4.0,234,4
2596,2595,VinFast,VF 6,2017,Nickel-manganese-cobalt,132.5,366,Mobile Charging,3.1,98299.48,Platinum,United Arab Emirates,0.0,0.0,5.0,5591,4
2598,2597,Zeekr,Zeekr 001,2021,Nickel-manganese-cobalt,41.0,374,Plug-in Hydrogen Refueling,5.4,110005.01,Silver,Thailand,2.0,0.0,4.0,14709,3
2599,2598,Peugeot,e-3008,2019,Solid-state,125.4,263,Vehicle-to-Home (V2H),6.0,109072.77,Teal,USA,1.0,0.0,5.0,17471,5
2600,2599,GMC,Hummer EV Pickup,2015,Flow batteries,90.3,263,Mobile Charging,6.6,48149.84,Pink,Russia,2.0,0.0,3.0,17248,3
2603,2602,Chevrolet,Volt (PHEV),2020,Lead-acid,59.1,585,CHAdeMO,2.0,87306.92,Cream,Singapore,0.0,0.0,5.0,10084,5
